Stream,Reach,Extent,Access,Treatment,Latitude,Longitude,Description
Lolo Creek,1,Downstream,Access points,High,46.294371,-115.752677,Chinook camp ground to top of falls
Lolo Creek,2,Downstream,Access points,High,46.301018,-115.752443,Top of falls to mouth of Musellshell
Lolo Creek,3,Downstream,Access points,High,46.309685,-115.753940,Mouth of Musellshell to 5150 bridge
Lolo Creek,4,Downstream,Limited ,High,46.312771,-115.750057,5150 bridge to bottom of Moose ponds on south side of Road.
Lolo Creek,5,Downstream,Limited,High,46.319552,-115.742822,Bottom of moose ponds to bottom of big corner below Collitts Mine ( by the 5132 road and the Gravel Pit road)
Lolo Creek,6,Downstream,Limited,High,46.329072,-115.736943,Bottom of big corner below Collitts Mine to the top of Collitts Mine
Lolo Creek,7,Downstream,Access points,High,46.334767,-115.732324,Top of Collitts Mine to county line bridge.
Lolo Creek,8,Downstream,"103 bridge, limited",High,46.343283,-115.734032,County Line bridge to road 521
Lolo Creek,9,Downstream,Access points,High,46.352440,-115.731832,Road 521 to Habitat improvement sign
Lolo Creek,10,Downstream,Access points,High,46.363377,-115.733246,Habitat Imporvement Sign to weir /road/ camp ground site
Lolo Creek,11,Downstream,Access points,High,46.372115,-115.724496,Weir site to 180 bend (big pull out on river side).
Lolo Creek,12,Downstream,Access points,High,46.381025,-115.714588,180 bend (big pullout on river side) to drive down Camp Ground. 
Lolo Creek,13,Downstream,Access points,High,46.390538,-115.698652,Drive down Camp ground to 
Lolo Creek,1,Upstream,Access points,High,46.301018,-115.752443,Chinook camp ground to top of falls
Lolo Creek,2,Upstream,Access points,High,46.309685,-115.753940,Top of falls to mouth of Musellshell
Lolo Creek,3,Upstream,Access points,High,46.312771,-115.750057,Mouth of Musellshell to 5150 bridge
Lolo Creek,4,Upstream,Limited ,High,46.319552,-115.742822,5150 bridge to bottom of Moose ponds on south side of Road.
Lolo Creek,5,Upstream,Limited,High,46.329072,-115.736943,Bottom of moose ponds to bottom of big corner below Collitts Mine ( by the 5132 road and the Gravel Pit road)
Lolo Creek,6,Upstream,Limited,High,46.334767,-115.732324,Bottom of big corner below Collitts Mine to the top of Collitts Mine
Lolo Creek,7,Upstream,Access points,High,46.343283,-115.734032,Top of Collitts Mine to county line bridge.
Lolo Creek,8,Upstream,"103 bridge, limited",High,46.352440,-115.731832,County Line bridge to road 521
Lolo Creek,9,Upstream,Access points,High,46.363377,-115.733246,Road 521 to Habitat improvement sign
Lolo Creek,10,Upstream,Access points,High,46.372115,-115.724496,Habitat Imporvement Sign to weir /road/ camp ground site
Lolo Creek,11,Upstream,Access points,High,46.381025,-115.714588,Weir site to 180 bend (big pull out on river side).
Lolo Creek,12,Upstream,Access points,High,46.390538,-115.698652,180 bend (big pullout on river side) to drive down Camp Ground. 
Lolo Creek,13,Upstream,Access points,High,46.387586,-115.679974,Drive down Camp ground to 
Newsome Creek,1,Downstream,Access points,Low,45.834428,-115.611378,First Access Point (not mouth) to bottom of Oxbow
Newsome Creek,2,Downstream,Access points,Low,45.845458,-115.619081,Bottom of first oxbow to bottom of second Oxbow (the one with a camp ground).
Newsome Creek,3,Downstream,Access points,Low,45.855961,-115.618714,Bottom of second oxbow (with camp ground) to the 440A road bridge
Newsome Creek,4,Downstream,Access points,Low,45.863822,-115.617885,440 A road bridge to the Elk River road turn off
Newsome Creek,5,Downstream,Access points,Low,45.871986,-115.618620,Elk Cityroad turn off to Nugget Creek (bottom of Sing Lee camp Ground).
Newsome Creek,6,Downstream,Access points,Low,45.879580,-115.617657,Nugget Creek (bottom of Sing Lee Camp Ground) to bridge at Sing Lee Camp Ground
Newsome Creek,7,Downstream,Access points,Low,45.884408,-115.626344,Bridge at Sing Lee Camp Ground to NPTH Acclimation Facility
Newsome Creek,8,Downstream,Access points,Low,45.897793,-115.631165,NPTH Acclimation Facility to Newsome Townsite bridge.
Newsome Creek,1,Upstream,Access points,Low,45.845458,-115.619081,First Access Point (not mouth) to bottom of Oxbow
Newsome Creek,2,Upstream,Access points,Low,45.855961,-115.618714,Bottom of first oxbow to bottom of second Oxbow (the one with a camp ground).
Newsome Creek,3,Upstream,Access points,Low,45.863822,-115.617885,Bottom of second oxbow (with camp ground) to the 440A road bridge
